goals,ownGoals,playerId,redCards,yellowCards,matchId,team,minute,playerIn
5,1,0,138408,0,0,2576210,home,,
6,null,0,20626,0,0,2576210,home,,
7,null,0,116349,0,0,2576210,home,,
8,1,0,20519,0,59,2576210,home,,
9,null,0,241676,0,0,2576210,home,,
10,null,0,135903,0,0,2576210,home,,
0,null,0,174,0,0,2576210,away,46.0,256478.0
1,null,0,8291,0,0,2576210,away,66.0,21678.0
2,null,0,24269,0,0,2576210,away,85.0,25601.0
3,null,0,50007,0,0,2576210,away,,
4,null,0,70834,0,0,2576210,away,,
5,null,0,24838,0,0,2576210,away,,
6,null,0,22695,81,68,2576210,away,,
7,null,0,85113,0,0,2576210,away,,
8,null,0,454457,0,0,2576210,away,,
9,null,0,7858,0,0,2576210,away,,
10,null,0,20632,0,0,2576210,away,,
0,null,0,22381,0,0,2576203,home,56.0,349102.0
1,null,0,22020,0,0,2576203,home,77.0,115933.0
2,1,0,21177,0,0,2576203,home,80.0,127534.0
3,null,0,38532,0,0,2576203,home,,
4,null,0,20776,0,0,2576203,home,,
5,null,0,116269,0,0,2576203,home,,
6,null,0,51145,0,0,2576203,home,,
7,null,0,20434,0,0,2576203,home,,
8,null,0,20749,0,0,2576203,home,,
9,null,0,21072,0,0,2576203,home,,
10,null,0,21468,0,0,2576203,home,,
0,null,0,116349,0,0,2576203,away,62.0,3344.0
1,null,0,3543,0,0,2576203,away,76.0,405608.0
2,null,0,20556,0,0,2576203,away,76.0,69968.0
3,null,0,21094,0,0,2576203,away,,
4,null,0,20571,0,0,2576203,away,,
5,null,0,138408,0,0,2576203,away,,
6,null,0,352993,0,0,2576203,away,,
7,null,0,20626,0,0,2576203,away,,
8,null,1,20519,0,27,2576203,away,,
9,null,0,241676,0,0,2576203,away,,
10,null,0,135903,0,0,2576203,away,,
0,null,0,3431,0,0,2576191,home,46.0,86785.0
1,null,0,69968,0,0,2576191,home,58.0,3344.0
2,1,0,352993,0,0,2576191,home,73.0,241676.0
3,null,0,3543,0,0,2576191,home,,
4,null,0,21094,0,80,2576191,home,,
5,null,0,20571,0,0,2576191,home,,
6,null,0,138408,0,0,2576191,home,,
7,1,0,20626,0,0,2576191,home,,
8,null,0,14812,0,0,2576191,home,,
9,null,0,116349,0,0,2576191,home,,
10,null,0,135903,0,0,2576191,home,,
0,null,0,373768,0,0,2576191,away,66.0,149846.0
1,null,0,20529,0,0,2576191,away,72.0,92908.0
2,null,0,259292,0,0,2576191,away,80.0,149848.0
3,0,2,232822,95,0,2576191,away,,
4,null,0,90268,0,0,2576191,away,,
5,null,0,125286,0,0,2576191,away,,
6,null,0,20707,0,0,2576191,away,,
7,null,0,22377,68,64,2576191,away,,
8,1,2,21296,0,20,2576191,away,,
9,null,0,20483,0,0,2576191,away,,
10,null,0,21169,0,0,2576191,away,,
0,null,0,20556,0,0,2576180,home,64.0,3344.0
1,null,0,298212,0,0,2576180,home,74.0,135903.0
2,null,0,69968,0,0,2576180,home,77.0,352993.0
3,null,0,3543,0,0,2576180,home,,
4,null,0,21094,0,0,2576180,home,,
5,null,0,20571,0,0,2576180,home,,
6,null,0,3431,0,0,2576180,home,,
7,null,0,138408,0,0,2576180,home,,
8,1,0,20626,0,59,2576180,home,,
9,null,0,14812,0,0,2576180,home,,
10,null,0,116349,0,0,2576180,home,,
0,null,0,22185,0,0,2576180,away,58.0,49979.0
1,null,0,11156,0,0,2576180,away,77.0,21655.0
2,null,0,20516,0,0,2576180,away,85.0,137048.0
3,1,0,20815,0,0,2576180,away,,
4,null,0,302799,0,28,2576180,away,,
5,null,0,21370,0,0,2576180,away,,
6,null,0,250956,0,89,2576180,away,,
7,null,0,272878,0,0,2576180,away,,
8,null,0,21528,0,0,2576180,away,,
9,null,0,10113,0,80,2576180,away,,
10,null,0,21494,0,0,2576180,away,,
